Material_Key,SAP_Material_Number,QAD_Material_Number,SAP_Planning_SKU,QAD_Planning_SKU,material_description,material_type,unit_of_measure,unit_of_measure_description,product_line,product_line_description,weight,application,sub_application,brand,brand_category,length_in,width_in,height_in,warranty_months,pallet_quantity,cost_usd,pallet_layer_qty,MCN
7197,224564873,Q486194,PLN-207197,QPLN-207197,HarborVolt Energy Storage Medical Devices 07197,SFG,EA,Each,Energy Storage,Battery modules and packs,14.72,Medical,Devices,HarborVolt,Marine,52,13,12,10,2,222.97,1,
7198,763589550,Q658651,PLN-207198,QPLN-207198,TitanCore Energy Storage Energy Storage 07198,FG,KG,Kilogram,Energy Storage,Battery modules and packs,18.84,Energy,Storage,TitanCore,Industrial,30,11,14,22,8,247.01,4,MCN2178
7199,587466237,Q271427,PLN-207199,QPLN-207199,MediPower Enclosures Industrial Material Handling 07199,SUBASSY,EA,Each,Enclosures,"Cabinets, housings, brackets",9.3,Industrial,Material Handling,MediPower,Medical,19,24,6,1,12,205.67,4,
7200,889540550,Q625428,PLN-207200,QPLN-207200,EcoCell Controls Medical Devices 07200,SFG,FT,Feet,Controls,Controllers & power electronics,27.86,Medical,Devices,EcoCell,Value,21,1,7,21,192,53.65,48,
7201,654631135,Q760142,PLN-207201,QPLN-207201,MediPower Charging Medical Devices 07201,SUBASSY,SET,Set,Charging,Chargers & accessories,4.05,Medical,Devices,MediPower,Medical,34,16,17,8,9,218.68,3,
7202,377678687,Q967586,PLN-207202,QPLN-207202,AeroLite Sensing Aerospace Avionics 07202,RM,LBS,Pounds,Sensing,Sensors & actuators,48.16,Aerospace,Avionics,AeroLite,Aerospace,23,14,16,12,3,93.0,3,
7203,126883483,Q525104,PLN-207203,QPLN-207203,TitanCore Thermal Automotive EV/Hybrid 07203,FG,KG,Kilogram,Thermal,Cooling systems & manifolds,0.82,Automotive,EV/Hybrid,TitanCore,Industrial,21,18,1,19,8,357.13,2,MCN3182
7204,786054800,Q809106,PLN-207204,QPLN-207204,VoltMax Thermal Automotive ICE 07204,RM,EA,Each,Thermal,Cooling systems & manifolds,9.52,Automotive,ICE,VoltMax,Premium,38,2,13,3,72,52.73,24,
7205,414867174,Q132044,PLN-207205,QPLN-207205,EcoCell Sensing Automotive ICE 07205,FG,SET,Set,Sensing,Sensors & actuators,15.99,Automotive,ICE,EcoCell,Value,25,12,5,22,16,101.06,4,MCN2681
7206,593609486,Q660790,PLN-207206,QPLN-207206,MediPower Sensing Industrial Backup Power 07206,RM,EA,Each,Sensing,Sensors & actuators,15.18,Industrial,Backup Power,MediPower,Medical,34,30,10,14,1,75.64,1,
7207,651974110,Q816169,PLN-207207,QPLN-207207,TitanCore Energy Storage Energy Storage 07207,FG,LBS,Pounds,Energy Storage,Battery modules and packs,6.47,Energy,Storage,TitanCore,Industrial,28,20,1,24,4,427.42,2,MCN3432
7208,319763677,Q988414,PLN-207208,QPLN-207208,HarborVolt Sensing Energy Storage 07208,SUBASSY,KG,Kilogram,Sensing,Sensors & actuators,5.18,Energy,Storage,HarborVolt,Marine,24,12,4,19,4,57.91,4,
7209,692654921,Q939055,PLN-207209,QPLN-207209,EcoCell Energy Storage Automotive EV/Hybrid 07209,SFG,FT,Feet,Energy Storage,Battery modules and packs,0.1,Automotive,EV/Hybrid,EcoCell,Value,35,1,2,8,192,110.17,48,
7210,365236742,Q465334,PLN-207210,QPLN-207210,MediPower Thermal Automotive ICE 07210,RM,EA,Each,Thermal,Cooling systems & manifolds,5.22,Automotive,ICE,MediPower,Medical,41,14,13,20,3,127.61,1,
7211,831443401,Q349330,PLN-207211,QPLN-207211,TitanCore Charging Industrial Material Handling 07211,FG,EA,Each,Charging,Chargers & accessories,17.72,Industrial,Material Handling,TitanCore,Industrial,4,7,14,41,240,273.73,60,MCN2071
7212,642981317,Q655008,PLN-207212,QPLN-207212,EcoCell Wiring Automotive EV/Hybrid 07212,RM,EA,Each,Wiring,Harnesses & connectors,11.45,Automotive,EV/Hybrid,EcoCell,Value,22,28,14,13,4,37.25,1,
7213,490564747,Q290699,PLN-207213,QPLN-207213,TitanCore Wiring Automotive ICE 07213,PKG,KG,Kilogram,Wiring,Harnesses & connectors,1.67,Automotive,ICE,TitanCore,Industrial,4,18,11,9,80,6.5,20,
7214,808245519,Q550472,PLN-207214,QPLN-207214,EcoCell Wiring Automotive ICE 07214,PKG,SET,Set,Wiring,Harnesses & connectors,14.27,Automotive,ICE,EcoCell,Value,27,30,10,0,1,3.67,1,
7215,156888767,Q694535,PLN-207215,QPLN-207215,VoltMax Wiring Industrial Material Handling 07215,RM,FT,Feet,Wiring,Harnesses & connectors,0.1,Industrial,Material Handling,VoltMax,Premium,14,26,14,13,8,75.37,2,
7216,940522670,Q205846,PLN-207216,QPLN-207216,VoltMax Charging Industrial Backup Power 07216,RM,FT,Feet,Charging,Chargers & accessories,7.61,Industrial,Backup Power,VoltMax,Premium,13,6,7,2,96,59.88,24,
7217,815780713,Q173982,PLN-207217,QPLN-207217,EcoCell Energy Storage Aerospace Avionics 07217,RM,KG,Kilogram,Energy Storage,Battery modules and packs,0.15,Aerospace,Avionics,EcoCell,Value,12,1,5,13,432,42.22,144,
7218,854178455,Q836778,PLN-207218,QPLN-207218,VoltMax Controls Aerospace Avionics 07218,PKG,FT,Feet,Controls,Controllers & power electronics,15.2,Aerospace,Avionics,VoltMax,Premium,13,14,8,9,9,10.85,9,
7219,694713499,Q884856,PLN-207219,QPLN-207219,VoltMax Wiring Marine Propulsion 07219,FG,KG,Kilogram,Wiring,Harnesses & connectors,9.51,Marine,Propulsion,VoltMax,Premium,35,22,6,37,6,156.38,2,MCN2679
7220,241740796,Q503633,PLN-207220,QPLN-207220,AeroLite Charging Industrial Backup Power 07220,PKG,KG,Kilogram,Charging,Chargers & accessories,5.14,Industrial,Backup Power,AeroLite,Aerospace,13,20,11,20,24,10.17,6,
7221,985391638,Q138324,PLN-207221,QPLN-207221,TitanCore Charging Aerospace Avionics 07221,FG,SET,Set,Charging,Chargers & accessories,25.83,Aerospace,Avionics,TitanCore,Industrial,30,19,19,30,6,536.92,2,MCN2801
7222,760539226,Q555224,PLN-207222,QPLN-207222,TitanCore Charging Automotive EV/Hybrid 07222,FG,SET,Set,Charging,Chargers & accessories,11.07,Automotive,EV/Hybrid,TitanCore,Industrial,35,21,20,25,6,417.24,2,MCN1418
7223,589326744,Q607045,PLN-207223,QPLN-207223,MediPower Thermal Industrial Backup Power 07223,PKG,KG,Kilogram,Thermal,Cooling systems & manifolds,28.52,Industrial,Backup Power,MediPower,Medical,36,18,15,24,4,4.52,2,
7224,390848933,Q713480,PLN-207224,QPLN-207224,EcoCell Energy Storage Marine Propulsion 07224,FG,SET,Set,Energy Storage,Battery modules and packs,29.68,Marine,Propulsion,EcoCell,Value,16,25,4,18,8,314.22,2,MCN3270
7225,937087182,Q291574,PLN-207225,QPLN-207225,TitanCore Sensing Industrial Material Handling 07225,SUBASSY,KG,Kilogram,Sensing,Sensors & actuators,0.11,Industrial,Material Handling,TitanCore,Industrial,5,6,1,15,128,110.8,64,
7226,615008279,Q917667,PLN-207226,QPLN-207226,HarborVolt Wiring Medical Devices 07226,RM,KG,Kilogram,Wiring,Harnesses & connectors,35.53,Medical,Devices,HarborVolt,Marine,22,19,22,13,4,34.11,2,
7227,284565669,Q197166,PLN-207227,QPLN-207227,AeroLite Energy Storage Automotive EV/Hybrid 07227,FG,LBS,Pounds,Energy Storage,Battery modules and packs,13.17,Automotive,EV/Hybrid,AeroLite,Aerospace,10,20,18,26,32,296.95,8,MCN1064
7228,282936583,Q423626,PLN-207228,QPLN-207228,TitanCore Enclosures Automotive ICE 07228,RM,EA,Each,Enclosures,"Cabinets, housings, brackets",8.5,Automotive,ICE,TitanCore,Industrial,17,20,11,14,4,60.09,4,
7229,287274809,Q481820,PLN-207229,QPLN-207229,TitanCore Sensing Industrial Material Handling 07229,FG,KG,Kilogram,Sensing,Sensors & actuators,7.39,Industrial,Material Handling,TitanCore,Industrial,25,5,12,23,18,374.23,9,MCN2945
7230,886654113,Q398403,PLN-207230,QPLN-207230,AeroLite Wiring Aerospace Avionics 07230,FG,SET,Set,Wiring,Harnesses & connectors,16.9,Aerospace,Avionics,AeroLite,Aerospace,24,34,1,13,4,377.2,1,MCN1829
7231,777858594,Q253897,PLN-207231,QPLN-207231,AeroLite Thermal Marine Propulsion 07231,FG,EA,Each,Thermal,Cooling systems & manifolds,7.04,Marine,Propulsion,AeroLite,Aerospace,17,16,16,32,12,534.12,6,MCN1945
7232,288342980,Q941388,PLN-207232,QPLN-207232,AeroLite Enclosures Automotive EV/Hybrid 07232,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",22.14,Automotive,EV/Hybrid,AeroLite,Aerospace,2,15,17,16,180,558.37,60,MCN1520
7233,896061139,Q182904,PLN-207233,QPLN-207233,VoltMax Thermal Automotive ICE 07233,PKG,EA,Each,Thermal,Cooling systems & manifolds,8.19,Automotive,ICE,VoltMax,Premium,32,10,19,19,12,6.26,4,
7234,193715803,Q390209,PLN-207234,QPLN-207234,AeroLite Energy Storage Industrial Material Handling 07234,FG,SET,Set,Energy Storage,Battery modules and packs,9.96,Industrial,Material Handling,AeroLite,Aerospace,18,4,6,22,96,281.46,24,MCN1870
7235,630330509,Q637643,PLN-207235,QPLN-207235,TitanCore Thermal Aerospace Avionics 07235,RM,LBS,Pounds,Thermal,Cooling systems & manifolds,1.4,Aerospace,Avionics,TitanCore,Industrial,1,32,8,10,160,59.47,40,
7236,918196027,Q870879,PLN-207236,QPLN-207236,AeroLite Wiring Energy Storage 07236,FG,LBS,Pounds,Wiring,Harnesses & connectors,3.56,Energy,Storage,AeroLite,Aerospace,11,5,10,16,27,345.39,27,MCN2066
7237,179063543,Q550324,PLN-207237,QPLN-207237,TitanCore Thermal Industrial Material Handling 07237,RM,SET,Set,Thermal,Cooling systems & manifolds,0.72,Industrial,Material Handling,TitanCore,Industrial,35,18,9,0,4,39.08,2,
7238,963554104,Q196468,PLN-207238,QPLN-207238,HarborVolt Charging Aerospace Avionics 07238,RM,KG,Kilogram,Charging,Chargers & accessories,5.68,Aerospace,Avionics,HarborVolt,Marine,24,4,14,12,12,70.37,12,
7239,863918310,Q261305,PLN-207239,QPLN-207239,EcoCell Enclosures Aerospace Avionics 07239,SFG,FT,Feet,Enclosures,"Cabinets, housings, brackets",9.02,Aerospace,Avionics,EcoCell,Value,19,7,6,9,12,108.31,12,
7240,395150774,Q696578,PLN-207240,QPLN-207240,AeroLite Enclosures Medical Devices 07240,RM,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",28.94,Medical,Devices,AeroLite,Aerospace,26,11,9,15,12,67.05,4,
7241,887110377,Q142488,PLN-207241,QPLN-207241,EcoCell Wiring Energy Storage 07241,FG,KG,Kilogram,Wiring,Harnesses & connectors,2.68,Energy,Storage,EcoCell,Value,26,24,2,24,4,285.46,2,MCN2385
7242,160028857,Q623667,PLN-207242,QPLN-207242,HarborVolt Sensing Marine Propulsion 07242,FG,EA,Each,Sensing,Sensors & actuators,13.92,Marine,Propulsion,HarborVolt,Marine,22,14,5,31,9,160.78,3,MCN3324
7243,565677426,Q364537,PLN-207243,QPLN-207243,EcoCell Sensing Automotive EV/Hybrid 07243,PKG,LBS,Pounds,Sensing,Sensors & actuators,62.58,Automotive,EV/Hybrid,EcoCell,Value,14,24,17,7,4,4.6,4,
7244,418923033,Q692903,PLN-207244,QPLN-207244,EcoCell Thermal Energy Storage 07244,RM,EA,Each,Thermal,Cooling systems & manifolds,18.32,Energy,Storage,EcoCell,Value,44,25,1,7,1,53.64,1,
7245,719422391,Q333916,PLN-207245,QPLN-207245,HarborVolt Sensing Medical Devices 07245,PKG,FT,Feet,Sensing,Sensors & actuators,12.52,Medical,Devices,HarborVolt,Marine,31,19,1,11,8,6.85,2,
7246,104087118,Q297665,PLN-207246,QPLN-207246,EcoCell Charging Marine Propulsion 07246,SFG,LBS,Pounds,Charging,Chargers & accessories,90.5,Marine,Propulsion,EcoCell,Value,23,26,15,12,3,115.51,1,
7247,396042077,Q331003,PLN-207247,QPLN-207247,VoltMax Wiring Aerospace Avionics 07247,SFG,EA,Each,Wiring,Harnesses & connectors,11.14,Aerospace,Avionics,VoltMax,Premium,37,5,20,10,18,123.13,9,
7248,725628291,Q876185,PLN-207248,QPLN-207248,MediPower Charging Medical Devices 07248,RM,FT,Feet,Charging,Chargers & accessories,12.63,Medical,Devices,MediPower,Medical,33,17,12,15,2,34.33,2,
7249,297932259,Q846479,PLN-207249,QPLN-207249,HarborVolt Wiring Medical Devices 07249,RM,KG,Kilogram,Wiring,Harnesses & connectors,4.67,Medical,Devices,HarborVolt,Marine,41,15,7,11,4,36.82,1,
7250,252418296,Q556643,PLN-207250,QPLN-207250,AeroLite Thermal Industrial Backup Power 07250,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,40.91,Industrial,Backup Power,AeroLite,Aerospace,45,29,8,34,2,417.3,1,MCN1101
7251,211481563,Q717153,PLN-207251,QPLN-207251,TitanCore Controls Marine Propulsion 07251,FG,KG,Kilogram,Controls,Controllers & power electronics,6.57,Marine,Propulsion,TitanCore,Industrial,37,19,5,28,8,184.79,2,MCN3014
7252,765859533,Q744192,PLN-207252,QPLN-207252,VoltMax Wiring Automotive ICE 07252,SUBASSY,KG,Kilogram,Wiring,Harnesses & connectors,13.65,Automotive,ICE,VoltMax,Premium,20,6,23,14,48,141.48,16,
7253,577083773,Q292268,PLN-207253,QPLN-207253,EcoCell Energy Storage Energy Storage 07253,RM,KG,Kilogram,Energy Storage,Battery modules and packs,1.28,Energy,Storage,EcoCell,Value,17,4,11,17,96,33.81,24,
7254,321085887,Q143769,PLN-207254,QPLN-207254,AeroLite Wiring Industrial Material Handling 07254,FG,LBS,Pounds,Wiring,Harnesses & connectors,141.28,Industrial,Material Handling,AeroLite,Aerospace,32,26,19,30,2,603.09,1,MCN3415
7255,235392764,Q312810,PLN-207255,QPLN-207255,HarborVolt Enclosures Medical Devices 07255,RM,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",1.19,Medical,Devices,HarborVolt,Marine,10,5,10,6,144,52.18,36,
7256,798968338,Q478367,PLN-207256,QPLN-207256,AeroLite Wiring Automotive EV/Hybrid 07256,SFG,FT,Feet,Wiring,Harnesses & connectors,10.03,Automotive,EV/Hybrid,AeroLite,Aerospace,1,26,3,9,40,170.18,40,
7257,207236412,Q918616,PLN-207257,QPLN-207257,TitanCore Energy Storage Marine Propulsion 07257,FG,LBS,Pounds,Energy Storage,Battery modules and packs,1.24,Marine,Propulsion,TitanCore,Industrial,9,16,3,16,36,283.36,12,MCN1037
7258,620854890,Q236114,PLN-207258,QPLN-207258,HarborVolt Energy Storage Marine Propulsion 07258,FG,LBS,Pounds,Energy Storage,Battery modules and packs,2.9,Marine,Propulsion,HarborVolt,Marine,15,12,2,27,16,321.08,8,MCN2421
7259,137470026,Q777108,PLN-207259,QPLN-207259,TitanCore Thermal Automotive EV/Hybrid 07259,FG,KG,Kilogram,Thermal,Cooling systems & manifolds,1.89,Automotive,EV/Hybrid,TitanCore,Industrial,17,9,3,26,40,297.99,10,MCN1602
7260,746881008,Q776534,PLN-207260,QPLN-207260,VoltMax Wiring Industrial Material Handling 07260,RM,FT,Feet,Wiring,Harnesses & connectors,22.21,Industrial,Material Handling,VoltMax,Premium,15,30,6,12,4,64.68,2,
7261,525343303,Q931804,PLN-207261,QPLN-207261,MediPower Enclosures Industrial Material Handling 07261,SFG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",5.84,Industrial,Material Handling,MediPower,Medical,19,8,14,13,24,269.68,12,
7262,539661863,Q950141,PLN-207262,QPLN-207262,TitanCore Sensing Automotive EV/Hybrid 07262,FG,SET,Set,Sensing,Sensors & actuators,17.7,Automotive,EV/Hybrid,TitanCore,Industrial,12,17,1,20,24,414.48,6,MCN2277
7263,974277046,Q257507,PLN-207263,QPLN-207263,HarborVolt Charging Automotive ICE 07263,FG,SET,Set,Charging,Chargers & accessories,8.81,Automotive,ICE,HarborVolt,Marine,47,26,13,22,1,447.65,1,MCN2716
7264,328801195,Q173753,PLN-207264,QPLN-207264,AeroLite Thermal Industrial Backup Power 07264,RM,SET,Set,Thermal,Cooling systems & manifolds,11.09,Industrial,Backup Power,AeroLite,Aerospace,30,20,8,0,8,45.26,2,
7265,312309589,Q431229,PLN-207265,QPLN-207265,TitanCore Sensing Aerospace Avionics 07265,PKG,KG,Kilogram,Sensing,Sensors & actuators,2.38,Aerospace,Avionics,TitanCore,Industrial,48,2,5,6,4,7.74,1,
7266,614699326,Q418918,PLN-207266,QPLN-207266,TitanCore Wiring Aerospace Avionics 07266,RM,SET,Set,Wiring,Harnesses & connectors,3.78,Aerospace,Avionics,TitanCore,Industrial,36,6,18,8,8,46.78,8,
7267,815966468,Q384616,PLN-207267,QPLN-207267,MediPower Enclosures Energy Storage 07267,RM,SET,Set,Enclosures,"Cabinets, housings, brackets",17.43,Energy,Storage,MediPower,Medical,15,4,7,20,72,86.3,24,
7268,683548337,Q775781,PLN-207268,QPLN-207268,TitanCore Energy Storage Automotive EV/Hybrid 07268,RM,FT,Feet,Energy Storage,Battery modules and packs,16.46,Automotive,EV/Hybrid,TitanCore,Industrial,25,28,1,1,3,42.36,1,
7269,253118816,Q754518,PLN-207269,QPLN-207269,EcoCell Wiring Marine Propulsion 07269,SUBASSY,SET,Set,Wiring,Harnesses & connectors,6.61,Marine,Propulsion,EcoCell,Value,9,10,12,7,64,59.53,16,
7270,245509876,Q997880,PLN-207270,QPLN-207270,VoltMax Controls Marine Propulsion 07270,FG,EA,Each,Controls,Controllers & power electronics,16.71,Marine,Propulsion,VoltMax,Premium,21,11,12,25,12,464.86,4,MCN1864
7271,452501790,Q567274,PLN-207271,QPLN-207271,HarborVolt Controls Automotive ICE 07271,RM,SET,Set,Controls,Controllers & power electronics,9.39,Automotive,ICE,HarborVolt,Marine,23,7,13,9,24,69.42,6,
7272,556742044,Q816627,PLN-207272,QPLN-207272,AeroLite Energy Storage Marine Propulsion 07272,RM,EA,Each,Energy Storage,Battery modules and packs,17.9,Marine,Propulsion,AeroLite,Aerospace,18,5,6,10,54,90.04,18,
7273,764715165,Q566040,PLN-207273,QPLN-207273,HarborVolt Sensing Industrial Material Handling 07273,RM,EA,Each,Sensing,Sensors & actuators,15.27,Industrial,Material Handling,HarborVolt,Marine,22,2,7,7,24,43.6,24,
7274,384196109,Q419041,PLN-207274,QPLN-207274,TitanCore Thermal Automotive ICE 07274,RM,FT,Feet,Thermal,Cooling systems & manifolds,21.16,Automotive,ICE,TitanCore,Industrial,20,29,5,12,6,49.19,2,
7275,221689555,Q273361,PLN-207275,QPLN-207275,TitanCore Controls Energy Storage 07275,SUBASSY,FT,Feet,Controls,Controllers & power electronics,13.11,Energy,Storage,TitanCore,Industrial,26,13,5,13,12,139.99,3,
7276,304735711,Q553361,PLN-207276,QPLN-207276,VoltMax Thermal Industrial Material Handling 07276,RM,SET,Set,Thermal,Cooling systems & manifolds,0.1,Industrial,Material Handling,VoltMax,Premium,17,16,8,16,24,56.2,6,
7277,607421658,Q658476,PLN-207277,QPLN-207277,HarborVolt Wiring Industrial Material Handling 07277,FG,SET,Set,Wiring,Harnesses & connectors,16.52,Industrial,Material Handling,HarborVolt,Marine,11,16,1,27,18,594.7,9,MCN1859
7278,499846864,Q872546,PLN-207278,QPLN-207278,TitanCore Enclosures Automotive EV/Hybrid 07278,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",6.37,Automotive,EV/Hybrid,TitanCore,Industrial,19,12,2,20,32,126.92,8,MCN2605
7279,410328462,Q376058,PLN-207279,QPLN-207279,MediPower Energy Storage Industrial Material Handling 07279,FG,EA,Each,Energy Storage,Battery modules and packs,1.2,Industrial,Material Handling,MediPower,Medical,39,28,20,29,2,297.71,1,MCN2867
7280,711281076,Q112650,PLN-207280,QPLN-207280,TitanCore Enclosures Industrial Material Handling 07280,FG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",9.9,Industrial,Material Handling,TitanCore,Industrial,49,31,4,25,2,354.87,1,MCN1460
7281,598509128,Q446720,PLN-207281,QPLN-207281,AeroLite Sensing Aerospace Avionics 07281,RM,LBS,Pounds,Sensing,Sensors & actuators,7.47,Aerospace,Avionics,AeroLite,Aerospace,27,15,8,6,6,84.0,3,
7282,120635226,Q361435,PLN-207282,QPLN-207282,MediPower Thermal Aerospace Avionics 07282,SFG,SET,Set,Thermal,Cooling systems & manifolds,8.05,Aerospace,Avionics,MediPower,Medical,31,20,6,0,8,219.04,2,
7283,166553962,Q367218,PLN-207283,QPLN-207283,MediPower Enclosures Aerospace Avionics 07283,RM,EA,Each,Enclosures,"Cabinets, housings, brackets",9.97,Aerospace,Avionics,MediPower,Medical,37,33,3,3,1,83.02,1,
7284,211463749,Q122293,PLN-207284,QPLN-207284,HarborVolt Controls Medical Devices 07284,FG,KG,Kilogram,Controls,Controllers & power electronics,0.05,Medical,Devices,HarborVolt,Marine,1,17,1,29,320,479.97,80,MCN2338
7285,241275580,Q568563,PLN-207285,QPLN-207285,TitanCore Wiring Aerospace Avionics 07285,RM,KG,Kilogram,Wiring,Harnesses & connectors,3.43,Aerospace,Avionics,TitanCore,Industrial,23,19,6,1,8,72.75,2,
7286,867511346,Q945263,PLN-207286,QPLN-207286,HarborVolt Controls Energy Storage 07286,FG,SET,Set,Controls,Controllers & power electronics,0.1,Energy,Storage,HarborVolt,Marine,22,21,6,23,4,288.67,2,MCN2224
7287,632142037,Q511139,PLN-207287,QPLN-207287,EcoCell Thermal Automotive ICE 07287,SUBASSY,FT,Feet,Thermal,Cooling systems & manifolds,12.97,Automotive,ICE,EcoCell,Value,33,16,20,13,9,69.8,3,
7288,228839207,Q688481,PLN-207288,QPLN-207288,EcoCell Thermal Automotive ICE 07288,SUBASSY,LBS,Pounds,Thermal,Cooling systems & manifolds,12.42,Automotive,ICE,EcoCell,Value,16,15,12,9,18,88.9,6,
7289,418895345,Q548590,PLN-207289,QPLN-207289,AeroLite Enclosures Energy Storage 07289,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",7.33,Energy,Storage,AeroLite,Aerospace,22,30,18,21,2,630.49,1,MCN2104
7290,175704525,Q298840,PLN-207290,QPLN-207290,MediPower Controls Industrial Backup Power 07290,SFG,KG,Kilogram,Controls,Controllers & power electronics,20.71,Industrial,Backup Power,MediPower,Medical,44,18,19,33,1,272.46,1,
7291,646569741,Q905589,PLN-207291,QPLN-207291,MediPower Controls Industrial Material Handling 07291,SFG,KG,Kilogram,Controls,Controllers & power electronics,2.14,Industrial,Material Handling,MediPower,Medical,17,2,21,22,144,0.5,48,
7292,355727768,Q602696,PLN-207292,QPLN-207292,MediPower Enclosures Industrial Material Handling 07292,FG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",3.34,Industrial,Material Handling,MediPower,Medical,12,19,9,13,6,237.39,6,MCN3215
7293,649233967,Q797856,PLN-207293,QPLN-207293,HarborVolt Thermal Industrial Material Handling 07293,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,3.32,Industrial,Material Handling,HarborVolt,Marine,27,12,4,20,12,221.74,4,MCN1013
7294,816661950,Q441660,PLN-207294,QPLN-207294,TitanCore Sensing Marine Propulsion 07294,RM,KG,Kilogram,Sensing,Sensors & actuators,2.37,Marine,Propulsion,TitanCore,Industrial,10,7,12,8,96,52.02,24,
7295,255004264,Q180431,PLN-207295,QPLN-207295,EcoCell Wiring Energy Storage 07295,SFG,EA,Each,Wiring,Harnesses & connectors,11.2,Energy,Storage,EcoCell,Value,24,14,10,12,6,94.91,3,
7296,790865496,Q447681,PLN-207296,QPLN-207296,EcoCell Energy Storage Automotive EV/Hybrid 07296,RM,EA,Each,Energy Storage,Battery modules and packs,6.79,Automotive,EV/Hybrid,EcoCell,Value,17,13,14,12,12,33.36,6,
7297,246775586,Q360580,PLN-207297,QPLN-207297,TitanCore Thermal Automotive EV/Hybrid 07297,RM,FT,Feet,Thermal,Cooling systems & manifolds,19.77,Automotive,EV/Hybrid,TitanCore,Industrial,18,6,12,5,32,60.32,16,
7298,291020921,Q847470,PLN-207298,QPLN-207298,EcoCell Energy Storage Industrial Material Handling 07298,RM,LBS,Pounds,Energy Storage,Battery modules and packs,3.25,Industrial,Material Handling,EcoCell,Value,19,7,7,12,24,57.98,12,
7299,784601540,Q572723,PLN-207299,QPLN-207299,AeroLite Energy Storage Industrial Material Handling 07299,RM,FT,Feet,Energy Storage,Battery modules and packs,8.43,Industrial,Material Handling,AeroLite,Aerospace,33,34,22,9,1,48.26,1,
7300,907262628,Q772394,PLN-207300,QPLN-207300,TitanCore Sensing Industrial Material Handling 07300,FG,FT,Feet,Sensing,Sensors & actuators,5.04,Industrial,Material Handling,TitanCore,Industrial,30,20,7,5,8,338.2,2,MCN3287
7301,835283029,Q885106,PLN-207301,QPLN-207301,EcoCell Enclosures Industrial Material Handling 07301,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",11.37,Industrial,Material Handling,EcoCell,Value,41,16,14,34,4,279.12,1,MCN1223
7302,340607013,Q234329,PLN-207302,QPLN-207302,VoltMax Enclosures Automotive EV/Hybrid 07302,SUBASSY,FT,Feet,Enclosures,"Cabinets, housings, brackets",0.1,Automotive,EV/Hybrid,VoltMax,Premium,26,9,9,19,15,204.81,5,
7303,911790521,Q154919,PLN-207303,QPLN-207303,EcoCell Enclosures Medical Devices 07303,RM,SET,Set,Enclosures,"Cabinets, housings, brackets",0.1,Medical,Devices,EcoCell,Value,43,21,8,5,4,44.99,1,
7304,333672374,Q302536,PLN-207304,QPLN-207304,EcoCell Sensing Marine Propulsion 07304,SUBASSY,EA,Each,Sensing,Sensors & actuators,10.99,Marine,Propulsion,EcoCell,Value,1,25,11,7,80,92.06,40,
7305,207532346,Q134317,PLN-207305,QPLN-207305,HarborVolt Controls Industrial Material Handling 07305,PKG,KG,Kilogram,Controls,Controllers & power electronics,0.1,Industrial,Material Handling,HarborVolt,Marine,8,9,1,11,100,8.4,25,
7306,279943316,Q470186,PLN-207306,QPLN-207306,VoltMax Sensing Automotive EV/Hybrid 07306,FG,SET,Set,Sensing,Sensors & actuators,6.28,Automotive,EV/Hybrid,VoltMax,Premium,29,17,8,24,2,197.79,2,MCN2508
7307,206328561,Q120668,PLN-207307,QPLN-207307,MediPower Energy Storage Industrial Backup Power 07307,RM,SET,Set,Energy Storage,Battery modules and packs,10.69,Industrial,Backup Power,MediPower,Medical,10,21,16,21,24,92.55,8,
7308,964235353,Q802927,PLN-207308,QPLN-207308,HarborVolt Charging Aerospace Avionics 07308,SUBASSY,SET,Set,Charging,Chargers & accessories,23.62,Aerospace,Avionics,HarborVolt,Marine,24,19,6,13,8,111.74,2,
7309,883705256,Q536684,PLN-207309,QPLN-207309,EcoCell Enclosures Industrial Backup Power 07309,FG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",4.33,Industrial,Backup Power,EcoCell,Value,39,28,4,23,3,153.97,1,MCN2991
7310,419042413,Q182944,PLN-207310,QPLN-207310,VoltMax Energy Storage Marine Propulsion 07310,FG,EA,Each,Energy Storage,Battery modules and packs,14.05,Marine,Propulsion,VoltMax,Premium,38,3,14,27,16,451.33,16,MCN1234
7311,845630374,Q489319,PLN-207311,QPLN-207311,TitanCore Controls Marine Propulsion 07311,PKG,LBS,Pounds,Controls,Controllers & power electronics,28.42,Marine,Propulsion,TitanCore,Industrial,22,22,17,10,4,6.42,2,
7312,674396138,Q633180,PLN-207312,QPLN-207312,TitanCore Sensing Aerospace Avionics 07312,PKG,SET,Set,Sensing,Sensors & actuators,0.2,Aerospace,Avionics,TitanCore,Industrial,18,11,6,3,16,6.04,8,
